Link,Volume Text
Volume 25/88-5/89,"Humanist Archives Vol. 2 by subjectHumanist Archives Vol. 2 by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Tue 10 Jan 1989 - 20:25:56 EDTEnding: Tue 03 Jun 1997 - 01:08:60 EDTMessages: 487 ""category theory"" and more (22) Willard McCarty Sun, 2 Apr 89 13:53:39 EDT ""censorship"" at Stanford (25) Willard McCarty Mon, 13 Mar 89 19:46:25 EST ""resend"" again (87) Willard McCarty Tue, 25 Apr 89 22:46:15 EDT ""resend"" and e-style (181) Willard McCarty Mon, 24 Apr 89 21:27:15 EDT ""resend"", cont. (42) Willard McCarty Thu, 27 Apr 89 20:46:40 EDT ""resend"", cont. (53) Willard McCarty Wed, 26 Apr 89 20:19:24 EDT ""resend"", the agenbite of inwit (19) Willard McCarty Sat, 29 Apr 89 00:54:42 EDT ""resend""; on ""using"" women (82) Willard McCarty Sun, 23 Apr 89 20:29:58 EDT 18C: conference (22) Willard McCarty Mon, 30 Jan 89 21:02:34 EST 18C: eighteenth century studies and Bitnet (32) Willard McCarty Thu, 6 Apr 89 19:28"
Volume 35/89-5/90,"Humanist Archives Vol. 3  by subjectHumanist Archives Vol. 3  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Wed 10 May 1989 - 00:11:12 EDTEnding: Mon 12 Jan 1998 - 09:06:60 EDTMessages: 1353 (no subject)  (no date) 2.1224 Sci-fi and cyber-worries (78) Willard McCarty Tue, 27 Mar 90 20:32:12 EST 2.306 converting to/from NB? Hungarian Mac? (44) Willard McCarty Tue, 4 Jul 89 18:53:18 EDT 3.10 Shakespeareans: Rose Theatre excavation (68) Willard McCarty Mon, 8 May 89 20:10:15 EDT 3.100 parvitude; laptops; Koran (74) Willard McCarty Tue, 6 Jun 89 21:12:52 EDT 3.1000 professional societies, cont. (137) Willard McCarty Fri, 2 Feb 90 20:42:29 EST 3.1001 best wishes (58) Willard McCarty Fri, 2 Feb 90 21:05:50 EST 3.1002 SGML; hanzi; pingpong; bibliographic managers  (105) Willard McCarty Mon, 5 Feb 90 20:43:39 EST 3.1003 address? e-Schulze? (43) Willard McCarty Mon, 5 Feb 90 20:45:38 EST 3.1004 ideal work"
Volume 45/90-5/91,"Humanist Archives Vol. 4  by subjectHumanist Archives Vol. 4  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Thu 10 May 1990 - 16:30:21 EDTEnding: Wed 11 Feb 1998 - 09:05:60 EDTMessages: 1319 4.0001   Happy Birthday Humanist  (10) Elaine Brennan & Allen Renear Mon, 7 May 90 18:20:23 EDT 4.0002  Thinking about computers  (166) Elaine Brennan & Allen Renear Mon, 7 May 90 18:31:43 EDT 4.0003  More Golems  (33) Elaine Brennan & Allen Renear Mon, 7 May 90 20:01:49 EDT 4.0004  Bibliographic Software  (122) Elaine Brennan & Allen Renear Mon, 7 May 90 20:08:40 EDT 4.0005  Gender and Language  (59) Elaine Brennan & Allen Renear Mon, 7 May 90 20:17:57 EDT 4.0006  Queries (97) Elaine Brennan & Allen Renear Mon, 7 May 90 20:27:43 EDT 4.0007  Oxford Text Archive Shortlists on the Fileserver  (44) Elaine Brennan & Allen Renear Mon, 7 May 90 21:06:54 EDT 4.0008  Euphemisms;  'Computer' in Chinese and Japanese  (25) El"
Volume 55/91-5/92,"Humanist Archives Vol. 5  by subjectHumanist Archives Vol. 5  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Fri 10 May 1991 - 11:15:08 EDTEnding: Wed 11 Feb 1998 - 08:07:60 EDTMessages: 867 5.0001  Volume 1, Number 1  (1/3) Elaine Brennan & Allen Renear Tue, 7 May 91 23:13:52 EDT 5.0002  Scholar's Tools  (1/15) Elaine Brennan & Allen Renear Tue, 7 May 91 23:14:57 EDT 5.0003  Syntactic Parser for Greek; TeX IPA font  (2/55) Elaine Brennan & Allen Renear Tue, 7 May 91 23:18:37 EDT 5.0004  Humanities Programming Course  (1/48) Elaine Brennan & Allen Renear Tue, 7 May 91 23:20:53 EDT 5.0005  Qs: Moliere E-Texts; Patristic Latin/CD-ROM  (2/22) Elaine Brennan & Allen Renear Tue, 7 May 91 23:23:52 EDT 5.0006  Greek Font Software  (1/12) Elaine Brennan & Allen Renear Tue, 7 May 91 23:31:25 EDT 5.0007  Copyright III  (1/174) Elaine Brennan & Allen Renear Tue, 7 May 91 23:35:52 EDT 5.0008  Missing Copyrights    (1"
Volume 65/92-5/93,"Humanist Archives Vol. 6  by subjectHumanist Archives Vol. 6  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Sun 10 May 1992 - 00:00:-1540 EDTEnding: Sun 01 Feb 1998 - 09:08:60 EDTMessages: 740 6.0001  Humanist's Birthday  (1/53) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:34:20 EDT 6.0002  EQs:  E-Lists; E-Text Legalities; Text Retrieval (3/78) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:43:30 EDT 6.0003  As:  E-Faerie Queen, MLA on OCLC, E-Course  (3/79) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:44:17 EDT 6.0004  Rs: String, Word Cruncher, Texts on CD-ROM, etc. (5/78) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:46:42 EDT 6.0005  E-Journal Conference  (1/48) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:48:36 EDT 6.0006  Qs: ""Steward"", Ethics, Surfaces, Grad Programs  (4/81) Elaine Brennan & Allen Renear Sun, 10 May 1992 23:50:38 EDT 6.0007  Responses to Humanist's Birthday   (2"
Volume 75/93-5/94,"Humanist Archives Vol. 7  by subjectHumanist Archives Vol. 7  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Tue 11 May 1993 - 14:53:51 EDTEnding: Fri 02 Jan 1998 - 02:08:60 EDTMessages: 643 7.0001  On Gopher and Copyright and Variant Texts  (4/132) Elaine Brennan Tue, 11 May 1993 14:53:51 EDT 7.0002  Information Technology and Questions for Humanists Elaine Brennan Tue, 11 May 1993 14:56:43 EDT 7.0003  ARL Directory of E-Publications  (1/134) Elaine Brennan Tue, 11 May 1993 14:59:43 EDT 7.0004  R: Literacy; Memory; Legend; Writing  (1/70) Elaine Brennan Tue, 11 May 1993 23:24:13 EDT 7.0005  New List: Italian Language and Culture  (1/38) Elaine Brennan Tue, 11 May 1993 23:25:20 EDT 7.0006  Modelling    (1/33) Elaine Brennan Mon, 17 May 1993 17:29:45 EDT 7.0007  Memory Hard and Soft  (1/101) Elaine Brennan Mon, 17 May 1993 17:39:38 EDT 7.0008  Conf: Computerised Learning (London)  (1/95) Elaine Brennan M"
Volume 85/94-5/95,"Humanist Archives Vol. 8  by subjectHumanist Archives Vol. 8  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Fri 13 May 1994 - 21:45:23 EDTEnding: Fri 02 Jan 1998 - 01:08:60 EDTMessages: 484 8.0001  Rs: Landscape (2);  StorySpace for Windows (2)  (4/143) Elaine Brennan Sun, 8 May 1994 17:06:37 EDT 8.0002  Q: E-Emily Dickinson?  (1/18) Elaine Brennan Sun, 8 May 1994 17:08:37 EDT 8.0002  R: Workshops for Humanities Faculty  (1/24) Elaine Brennan Sun, 8 May 1994 17:07:09 EDT 8.0003  Making Computers Accessible   (1/144) Elaine Brennan Fri, 13 May 1994 21:45:23 EDT 8.0004  Humanities Computing Course Material Archive  (1/88) Elaine Brennan Fri, 13 May 1994 21:48:22 EDT 8.0005  Rs: Landscape; Hyptertext Software  (2/22) Elaine Brennan Fri, 13 May 1994 21:49:41 EDT 8.0006  CFP Post-COLING Lexical Workshop  (1/306) Elaine Brennan Fri, 13 May 1994 21:50:44 EDT 8.0007  Qs: E-Music Semiotics; Fonts  (2/22)_ Elain"
Volume 95/95-5/96,"Humanist Archives Vol. 9  by subjectHumanist Archives Vol. 9  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Mon 15 May 1995 - 10:53:29 EDTEnding: Mon 14 Jul 1997 - 02:08:60 EDTMessages: 745 /u/mccarty/mail/monday.digest (fwd) Willard McCarty Mon, 14 Aug 1995 08:22:59 -0400 (EDT) 25th Medieval Workshop - University of British Columbia Christopher G. Fox Thu, 19 Oct 1995 16:38:52 -0400 9.0001  Roundtable: Humanists in 2010  (1/74) Elaine Brennan Sun, 7 May 1995 14:03:30 EDT 9.0002  Web Sites: Cultural Studies; Spenser; NT MSS  (3/86) Elaine Brennan Sun, 7 May 1995 14:07:51 EDT 9.0003  Rs: Latin; ClipArt; AOL; E-Dickens; Sesame  (8/122) Elaine Brennan Sun, 7 May 1995 14:15:26 EDT 9.0004  Call for Papers: Reception of Classical Texts  (1/65) Elaine Brennan Sun, 7 May 1995 14:17:35 EDT 9.0005  Qs: OCR Software; Qualitative v. Quantitative; Computing Elaine Brennan Sun, 7 May 1995 14:18:31 EDT 9.0006  New Issu"
Volume 105/96-5/97,"Humanist Archives Vol. 10  by subjectHumanist Archives Vol. 10  by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Fri 01 Nov 1996 - 00:00:-35730 EDTEnding: Mon 05 May 1997 - 17:24:04 EDTMessages: 537 **sign of life** Humanist Mon, 30 Dec 1996 08:30:56 -0500 (EST) 10.0383 books & Fowler et al. on reading WILLARD MCCARTY Fri, 1 Nov 1996 18:57:17 +0000 (GMT) 10.0384 effects of e-communication? WILLARD MCCARTY Fri, 1 Nov 1996 18:58:51 +0000 (GMT) 10.0385 WWW gems WILLARD MCCARTY Fri, 1 Nov 1996 18:59:52 +0000 (GMT) 10.0386 SGML '96 WILLARD MCCARTY Fri, 1 Nov 1996 18:55:33 +0000 (GMT) 10.0387 effects of e-communication WILLARD MCCARTY Mon, 4 Nov 1996 19:34:52 +0000 (GMT) 10.0388 WWW search tools WILLARD MCCARTY Mon, 4 Nov 1996 19:36:49 +0000 (GMT) 10.0389 conferences WILLARD MCCARTY Mon, 4 Nov 1996 19:34:18 +0000 (GMT) 10.0390 SGML '96: when is it? WILLARD MCCARTY Mon, 4 Nov 1996 19:36:15 +0000 (GMT) 10.0"
Volume 115/97-5/98,"Humanist.Archives.Vol.11 by subjectHumanist.Archives.Vol.11 by subject Messages sorted by: [ date ][ thread ][ author ] Other mail archivesStarting: Thu 08 May 1997 - 16:51:59 CUTEnding: Sat 04 Sep 1999 - 04:33:18 CUTMessages: 680 (no subject) Humanist Discussion Group Wed, 24 Dec 1997 14:18:26 +0000 (GMT) Humanist Discussion Group Wed, 17 Dec 1997 20:10:29 +0000 (GMT) Humanist Discussion Group Tue, 21 Oct 1997 22:16:32 +0100 (BST) 11. 0644 Workshops Humanist Discussion Group Sat, 14 Mar 1998 19:15:05 +0000 (GMT) 11.0006 spamming Humanist Discussion Group Thu, 8 May 1997 21:38:16 +0100 (BST) 11.0007 online Humanist Discussion Group Thu, 8 May 1997 21:36:46 +0100 (BST) 11.0008 birthday wishes Humanist Discussion Group Thu, 8 May 1997 21:35:38 +0100 (BST) 11.0009 Arachnet? MLA Bibliography? Humanist Discussion Group Thu, 8 May 1997 21:37:37 +0100 (BST) 11.0010 Virtual Macbeth Humanist Discussion Group Thu, 8 May 1997 21:36:14 +0100 (BST) 11.0"
