movie_idx,movie_name,release_year,rating,votes,genre,Cinemagoer_id,multiple_plot
m0,10 things i hate about you,1999,6.9,62847,"'comedy', 'romance'",0147800,"['A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.', 'Adapted from William Shakespeare\'s play ""The Taming of the Shrew,"" 10 Things I Hate About You starts off with Cameron, new student at Padua High, sitting in the office of the quirky guidance counselor Ms. Perky. He is then shown around the school by Michael, who will become his best friend. During his tour is when Cameron first sees Bianca Stratford, a beautiful sophomore with one problem: she isn\'t allowed to date. And neither is her ""shrew"" sister, Katarina, a senior who loves indie rock and feminist prose and hates conformity. But Kat and Bianca\'s father alters his house rule: now, Bianca can date... as long as Kat has a date, too. Now, in order for Cameron to date Bianca, he has to find someone to date Kat. So Michael helps him enlist the help of pretty-boy/jerk/model Joey Donner, tricking him into thinking that *he* will get to take Bianca out if he pays someone to take out Kat. His choice: Patrick Verona, a bad-boy with a mysterious reputation--some say he ate a live duck once, others that he lit a state trooper on fire, and even more claim that he had a brief porn career. Will Patrick win Kat\'s heart? Will Cameron win Bianca\'s? Or will everything hit the fan...?—Erica Baffa', ""Meet the Stratford sisters: pretty and popular Bianca, who has never had a date; and Kat, her older sibling, an ill-tempered harridan whose acerbic wit is matched only by her steadfast determination to alienate any guy who might be remotely interested in her. Unfortunately, strict rules in the Stratford household forbid Bianca from having a boyfriend until her odious sister has one of her own-a situation that seems highly improbable considering Kat is a social disaster. Bianca's desperation for romance turns into a convoluted scheme to match Kat with her male equivalent--a guy whose reputation is so infamous, Kat might rise to the challenge and find him worthy of her concealed charms. Mating mayhem ensues when Patrick Verona -- a sullen young man with a mysterious past -- is bribed by Bianca's wannabe boyfriend to woo and win Kat, in order to clear the way for Bianca to begin dating.—Movie Buff;-)"", ""Popular, pretty Bianca Stratford is in dilemma. A family rule forbids her from dating until her unpopular, rebellious, boy-hating older sister Kat gets a suitor of her own. In an attempt to win Bianca, a potential boyfriend desperately attempts to set Kat up with Patrick Verona, another rebel who may just be able to win Kat's heart.—Emily Brecade <GolfPnkGir@aol.com>""]"
m1,1492: conquest of paradise,1992,6.2,10421,"'adventure', 'biography', 'drama', 'history'",0103594,"[""Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people."", ""Big budget account of Christopher Columbus' discovery of the Americas. Released in 1992 to celebrate the 500th anniversary of the discovery. Shows the disastrous effects the Europeans had on the original inhabitants, and Columbus' struggle to civilize the New World.—Rob Hartill""]"
m2,15 minutes,2001,6.1,25854,"'action', 'crime', 'drama', 'thriller'",0179626,"['A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.', 'When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""—Jeff Cross <blackjac_1998@yahoo.com>']"
m3,2001: a space odyssey,1968,8.4,163227,"'adventure', 'mystery', 'sci-fi'",0062622,"['After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.', '""2001"" is a story of evolution. Sometime in the distant past, someone or something nudged evolution by placing a monolith on Earth (presumably elsewhere throughout the universe as well). Evolution then enabled humankind to reach the moon\'s surface, where yet another monolith is found, one that signals the monolith placers that humankind has evolved that far. Now mankind, assisted by artificial intelligence (such as HAL), must dare to encounter the monolith placers. If successful, the next step in evolution--whatever it is--will be achieved.—Larry Cousins', 'A black monolith affects on humans, focusing on two specific time periods. The first period is four million years ago, at the dawn of man. After the appearance of the monolith, the ape men begin to display behavior unknown before then. The second period is the near future, in the year 2001. Five astronauts are aboard Discovery One, which is on a mission to Jupiter, but at the beginning, they don\'t know the reason for it. Three of them are in hibernation at the start, preserve the manpower over its entire course, leaving mission commander Dr. Dave Bowman and Dr. Frank Poole as the two manning the spacecraft. There is another what is often considered ""sixth"" astronaut on board, HAL 9000--referred to simply as Hal--the artificially-intelligent computer which controls all of the craft\'s functions, including the systems keeping the three hibernating astronauts alive. Hal is made all the more astronaut-like as it is given an artificial voice, Hal and the astronauts often having conversations. A 9000 series computer is considered infallible, any error one has ever made being human caused. Ultimately, Bowman and Poole believe that Hal is malfunctioning, they are unaware that Hal\'s behavior is due to knowledge of classified information it has about events at Clavius, a lunar outpost, 18 months earlier. However, the issue between the astronauts and Hal becomes a fight for survival. The mission in its entirety has profound consequences for the human race.—Huggo', ""Stanley Kubrick's masterpiece traces an expedition to the moon, Jupiter and beyond, and imagines the future evolution of humanity. A group of ape-like creatures - primitive humans - discover the use of bones as weapons in a quarrel over a waterhole. Jump forward 1000s of years, and an American expedition finds a mysterious black monolith--an obvious alien artifact--on the Moon. Another expedition is sent to Jupiter, where a second monolith has been discovered. But during the journey the ship's computer, HAL 9000, develops paranoia."", 'This movie is concerned with intelligence as the division between animal and human, then asks a question: what is the next division? Technology is treated as irrelevant to the quest--literally serving as mere vehicles for the human crew and as a shell for the immature HAL entity. The story is told through a montage of impressions, music, and impressive and careful attention to subliminal detail. A very influential film and still a class act.—Robin Kenny <robink@hparc0.aus.hp.com>']"
m4,48 hrs.,1982,6.9,22289,"'action', 'comedy', 'crime', 'drama', 'thriller'",0083511,"['A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.', 'Oddball cop and tough guy, Jack Cates is the only survivor of a cop shooting and in hunting down the murderer collects Reggie Hammond from jail for 48 hours. Hammond is oddly motivated to help. The killer is searching for his stash of cash. Cates and Hammond who have the Black-white, cop-crook thing to work out make surprisingly good partners as they navigate through the city looking for their suspect.—John Vogel <jlvogel@comcast.net>', ""After a bloody shoot-out in a cheap hotel and a lost revolver, the gruff and tough San Francisco Police Department officer, Inspector Jack Cates, finds himself with the back to the wall. Now, to find the armed-and-dangerous escaped convict, Albert Ganz, Jack has no other choice but to team up with the fugitive's former partner, the smooth-talking prisoner, Reggie Hammond; however, there's a catch: the unlikely duo has only two short days to crack the case before Reggie returns to his cosy cell. Of course, apart from Ganz, those two have nothing in common, and as if that weren't enough, time is against them. But, a lot can happen in 48 hours. Can Jack and Reggie get the job done before they kill each other?—Nick Riganas""]"
m5,the fifth element,1997,7.5,133756,"'action', 'adventure', 'romance', 'sci-fi', 'thriller'",0119116,"['In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.', 'In the 23rd century, the universe is threatened by evil. The only hope for mankind is the Fifth Element, which comes to Earth every 5,000 years to protect humans with stones of the four elements: fire, water, earth, and air. A Mondoshawan spacecraft is bringing The Fifth Element back to Earth but it is destroyed by the evil Mangalores. However, a team of scientists use the DNA of the remains of the Fifth Element to rebuild the perfect being called Leeloo. She escapes from the laboratory and stumbles upon the taxi driver and former elite commando Major Korben Dallas who helps her to escape from the police. Leeloo tells him that she must meet Father Vito Cornelius to accomplish her mission. Meanwhile, the Evil uses the greedy and cruel Jean-Baptiste Emanuel Zorg and a team of mercenary Mangalores to retrieve the stones and avoid the protection of Leeloo. But the skilled Korben Dallas has fallen in love with Leeloo and decides to help her retrieve the stones.—Claudio Carvalho, Rio de Janeiro, Brazil', 'Unbeknownst to him, Korben Dallas - a former special forces commando, and now a mid-23rd-century New York City cab driver - finds himself caught in the middle of an eons-old war when the immaculate being Leeloo crashes into his taxi. In search of the perfect weapon that can save humanity from an all-powerful force of pure evil, Korben, Leeloo, and space priest Vito Cornelius struggle to unearth the mysterious ""fifth element"", as the scheming industrialist Zorg is already after the other four. Now, in the ultimate battle between good and evil, Leeloo seems to hold the key to Earth\'s salvation; however, is the world worth saving?—Nick Riganas', 'For ex-Marine Korben Dallas (Willis), life has become tediously repetitive: he drives a flying cab for a living and eats takeaway from the same Chinese restaurant, which delivers directly to his window every day. But little does Korben know that a great extra-terrestrial Evil has teamed up with Zorg and threatens to destroy the Earth.', 'Two-hundred-and-fifty years in the future, life as we know it is threatened by the arrival of Evil. Only the Fifth Element can stop the Evil from extinguishing life as it tries to do every 5,000 years. She is assisted by a former elite commando turned cab driver, Korben Dallas, who is, in turn, helped by Prince/Arsenio clone, Ruby Rhod. Unfortunately, Evil is being assisted by Mr. Zorg, who seeks to profit from the chaos that Evil will bring, and his alien mercenaries.—David J. Gannon <dganno01@exch.eds.com>']"
m6,8mm,1999,6.3,48212,"'crime', 'mystery', 'thriller'",0134273,"['A private investigator is hired to discover if a ""snuff film"" is authentic or not.', 'A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, Welles relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town private eye.—Columbia Pictures', ""Tom Welles, private eye, is hired by a wealthy widow, whose well-known husband passed away recently. She has found a reel of S8-film in a safe. On the film is a cruel slaughtering of a young girl, who obviously does not pretend or act: A snuff-movie. Welles takes up investigation, which leads him to the girl's mother and from there to Hollywood, into the office of a porn flick producer. Welles' rising obsession to solve the case also carries him away from his wife and new-born daughter. But when finally names are at hand, Welles suddenly finds himself on ice much thinner than he planned.—Julian Reischl <julianreischl@mac.com>""]"
m7,a nightmare on elm street 4: the dream master,1988,5.2,13590,"'fantasy', 'horror', 'thriller'",0095742,"['Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.', 'Following up the previous Nightmare film, the dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down all three of the surviving Elm Street kids. However, Kristen Parker soon realizes that Freddy is taking advantage of that unknown power she now wields to pull a new group of teenage children into his foul domain. Can she finally defeat Freddy or is it already too late?—David Thiel <d-thiel@uiuc.edu>', ""With the boiler room at the creepy house on 1428 Elm Street forever cold after the events in A Nightmare on Elm Street 3: Dream Warriors (1987), lucky survivors Kristen, Kincaid, and Joey try to pick up the pieces and live free again. But no force on Earth can contain pure evil. As the gruesome dream manipulator returns from the dead, hungry for teenage souls, fresh meat gets a taste of Freddy's horror. Now, it's up to the remaining Dream Warriors to finish the charred stalker of the dream world off once and for all. But when death is only an illusion, can the last of the Elm Street Children end what Nancy started in A Nightmare on Elm Street (1984)?—Nick Riganas""]"
m8,a nightmare on elm street: the dream child,1989,4.7,11092,"'fantasy', 'horror', 'thriller'",0097981,"['The pregnant Alice finds Freddy Krueger striking through the sleeping mind of her unborn child, hoping to be reborn into the real world.', 'Alice, having survived the previous installment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice\'s unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son?—David Thiel <d-thiel@uiuc.edu>', ""Springwood, 1989. With no sign of Freddy Krueger after the razor-sharp horror in A Nightmare on Elm Street 4: The Dream Master (1988), Alice Johnson is confident that she has survived the wrath of the clawed dream demon. But the evil son of 100 maniacs has found a workaround: the undeveloped foetus of an oblivious young mother-to-be is now Freddy's key to the physical world. As horrible visions start haunting Alice's troubled dreams again, an unexpected ally from the past offers closure. However, Alice and her vulnerable friends are running out of time. Can the new batch survive the dream-within-a-dream and the blood-chilling advent of the infernal dream child?—Nick Riganas""]"
m9,the atomic submarine,1959,4.9,513,"'sci-fi', 'thriller'",0052587,"['Ships mysteriously disappear on route across the Arctic Sea, and a specially-equipped submarine is sent to investigate.', 'In the far and distant future of 1968, many ships and planes are crossing the North pole to transport passengers and cargo. However lately more than eight ships and seven submarines have vanished mysteriously. The Tigershark is sent out to investigate their whereabouts and - if possible - remove the cause of their disappearance. But the life form Commander Vandover and his crew encounter may be too powerful even for their weapons of newest technology...—Tom Zoerner <Tom.Zoerner@informatik.uni-erlangen.de>']"
