speaker_id,character_name,movie_idx,movie_name,gender,credit_pos
u0,BIANCA,m0,10 things i hate about you,f,4
u2,CAMERON,m0,10 things i hate about you,m,3
u4,JOEY,m0,10 things i hate about you,m,6
u5,KAT,m0,10 things i hate about you,f,2
u11,WALTER,m0,10 things i hate about you,m,9
u9,PATRICK,m0,10 things i hate about you,m,1
u7,MICHAEL,m0,10 things i hate about you,m,5
u6,MANDELLA,m0,10 things i hate about you,f,7
u16,COLUMBUS,m1,1492: conquest of paradise,m,1
u19,MARCHENA,m1,1492: conquest of paradise,m,6
u26,CUTLER,m2,15 minutes,m,0
u30,EMIL,m2,15 minutes,m,6
u34,JORDY,m2,15 minutes,m,2
u27,DAPHNE,m2,15 minutes,f,8
u29,EDDIE,m2,15 minutes,m,1
u35,KORFIN,m2,15 minutes,m,9
u41,NICOLETTE,m2,15 minutes,f,5
u42,OLEG,m2,15 minutes,m,7
u50,BOWMAN,m3,2001: a space odyssey,m,1
u60,POOLE,m3,2001: a space odyssey,m,2
u56,HAL,m3,2001: a space odyssey,m,7
u71,HAMMOND,m4,48 hrs.,m,2
u67,CATES,m4,48 hrs.,m,1
u68,ELAINE,m4,48 hrs.,f,3
u78,CORNELIUS,m5,the fifth element,m,3
u85,LEELOO,m5,the fifth element,f,4
u84,KORBEN,m5,the fifth element,m,1
u114,WELLES,m6,8mm,m,1
u100,AMY,m6,8mm,f,7
u105,EDDIE,m6,8mm,m,3
u103,DINO VELVET,m6,8mm,m,4
u106,LONGDALE,m6,8mm,m,5
u108,MAX,m6,8mm,m,2
u109,MRS CHRISTIAN,m6,8mm,m,0
u110,MRS MATHEWS,m6,8mm,m,0
u115,ALICE,m7,a nightmare on elm street 4: the dream master,f,1
u116,DAN,m7,a nightmare on elm street 4: the dream master,m,3
u123,ALICE,m8,a nightmare on elm street: the dream child,f,2
u130,YVONNE,m8,a nightmare on elm street: the dream child,f,3
u128,MARK,m8,a nightmare on elm street: the dream child,m,7
u135,REEF,m9,the atomic submarine,m,1
u131,CARL,m9,the atomic submarine,m,3
u132,DAVE,m9,the atomic submarine,m,0
u139,ALMA,m10,affliction,f,7
u154,WADE,m10,affliction,m,1
u142,JACK,m10,affliction,m,4
u144,LARIVIERE,m10,affliction,m,3
u153,TWOMBLEY,m10,affliction,m,13
u143,JILL,m10,affliction,f,2
u147,MARGIE,m10,affliction,f,11
u152,ROLFE,m10,affliction,m,21
u169,MARSHALL,m11,air force one,m,1
u174,SHEPHERD,m11,air force one,m,6
u193,TED,m12,airplane ii: the sequel,m,1
u180,ELAINE,m12,airplane ii: the sequel,f,2
u191,SIMON,m12,airplane ii: the sequel,m,4
u214,STRIKER,m13,airplane!,m,5
u198,ELAINE,m13,airplane!,f,4
u224,SYKES,m14,alien nation,m,1
u218,JETSON,m14,alien nation,m,0
u229,BISHOP,m15,aliens,m,4
u237,RIPLEY,m15,aliens,f,1
u230,BURKE,m15,aliens,m,5
u232,HICKS,m15,aliens,m,3
u236,NEWT,m15,aliens,f,2
u255,MOZART,m16,amadeus,m,2
u244,CAVALIERI,m16,amadeus,f,6
u260,SALIERI,m16,amadeus,m,1
u252,LEOPOLD,m16,amadeus,m,5
u261,SCHIKANEDER,m16,amadeus,m,4
u247,CONSTANZE,m16,amadeus,f,3
u251,JOSEPH,m16,amadeus,m,7
u253,LORL,m16,amadeus,f,22
u257,OLD SALIERI,m16,amadeus,m,0
u266,VOGLER,m16,amadeus,m,16
u269,ALEX,m17,an american werewolf in london,f,2
u275,DR. HIRSCH,m17,an american werewolf in london,m,0
u274,DAVID,m17,an american werewolf in london,m,1
u276,JACK,m17,an american werewolf in london,m,3
u288,DICKSON,m18,american madness,m,1
u297,MATT,m18,american madness,m,2
u292,HELEN,m18,american madness,f,4
u286,CLARK,m18,american madness,m,1000
u287,CLUETT,m18,american madness,m,5
u299,MRS. DICKSON,m18,american madness,f,3
u306,BOB,m19,american outlaws,m,9
u308,COLE,m19,american outlaws,m,2
u312,FRANK,m19,american outlaws,m,4
u313,JESSE,m19,american outlaws,m,1
u326,ZEE,m19,american outlaws,f,3
u322,PINKERTON,m19,american outlaws,m,8
u320,PARKER,m19,american outlaws,m,11
u323,RAINS,m19,american outlaws,m,6
u331,COURTNEY,m20,american psycho,f,7
u327,BATEMAN,m20,american psycho,m,1
u334,EVELYN,m20,american psycho,f,6
u336,JEAN,m20,american psycho,f,5
u333,ELIZABETH,m20,american psycho,f,12
u337,KIMBALL,m20,american psycho,m,10
u335,HOMELESS MAN,m20,american psycho,m,0
u344,ALICE,m21,antitrust,f,3
u354,MILO,m21,antitrust,m,1
u349,GARY,m21,antitrust,m,4
u353,LISA,m21,antitrust,f,2
u360,ALOTTA,m22,austin powers: international man of mystery,f,7
u362,AUSTIN,m22,austin powers: international man of mystery,m,1
u363,BASIL EXPOSITION,m22,austin powers: international man of mystery,m,3
u367,DR. EVIL,m22,austin powers: international man of mystery,m,1
u377,VANESSA,m22,austin powers: international man of mystery,f,2
u375,SCOTT EVIL,m22,austin powers: international man of mystery,m,6
u387,STEED,m23,the avengers,m,1
u380,EMMA,m23,the avengers,f,2
u383,MOTHER,m23,the avengers,m,5
u388,VALENTINE,m23,the avengers,f,0
u382,INVISIBLE JONES,m23,the avengers,m,4
u393,DEBBIE,m24,bachelor party,f,2
u403,O'NEILL,m24,bachelor party,m,3
u406,RICK,m24,bachelor party,m,1
u392,COLE,m24,bachelor party,m,6
u421,STEPHEN,m25,backdraft,m,1
u412,BRIAN,m25,backdraft,m,2
u417,JENNIFER,m25,backdraft,f,5
u420,SHADOW,m25,backdraft,m,3
u416,HELEN,m25,backdraft,f,7
u432,LT,m26,bad lieutenant,m,0
u425,ARIANE,m26,bad lieutenant,f,5
u431,LITE,m26,bad lieutenant,m,14
u452,SLOAN,m27,bamboozled,f,3
u439,DELACROIX,m27,bamboozled,m,1
u447,MANTAN,m27,bamboozled,m,2
u441,DUNWITTY,m27,bamboozled,m,5
u445,JUNEBUG,m27,bamboozled,m,7
u450,ORCHID,m27,bamboozled,f,10
u451,SLEEP 'N EAT,m27,bamboozled,m,0
u473,RODERICK,m28,barry lyndon,m,0
u456,CAPTAIN GALGENSTEIN,m28,barry lyndon,m,0
u457,CAPTAIN GROGAN,m28,barry lyndon,m,13
u459,CHEVALIER,m28,barry lyndon,m,3
u461,COUNTESS,m28,barry lyndon,f,0
u479,HARDY,m29,basic,m,1
u480,KENDALL,m29,basic,m,5
u478,DUNBAR,m29,basic,m,6
u482,OSBORNE,m29,basic,f,2
u483,PIKE,m29,basic,m,7
u485,STYLES,m29,basic,m,4
u488,AMOS,m30,big fish,m,16
u492,EDWARD,m30,big fish,m,0
u498,WILL,m30,big fish,m,3
u493,JENNY,m30,big fish,f,5
u494,JOSEPHINE,m30,big fish,f,8
u497,SANDRA,m30,big fish,f,4
u504,YURI,m31,birthday girl,m,4
u502,NADIA,m31,birthday girl,f,1
u501,JOHN,m31,birthday girl,m,2
u516,RONNIE,m32,black snake moan,m,3
u505,ANGELA,m32,black snake moan,f,4
u511,LAZARUS,m32,black snake moan,m,1
u515,RAE,m32,black snake moan,f,2
u509,GILL,m32,black snake moan,m,7
u517,ROSE,m32,black snake moan,f,8
u519,TEHRONNE,m32,black snake moan,m,6
u514,R.L.,m32,black snake moan,m,0
u520,CHARLIE,m33,black rain,m,2
u525,NICK,m33,black rain,m,1
u523,JOYCE,m33,black rain,f,4
u526,OHASHI,m33,black rain,m,6
u529,BATTY,m34,blade runner,m,2
u542,SEBASTIAN,m34,blade runner,m,7
u539,PRIS,m34,blade runner,f,6
u532,DECKARD,m34,blade runner,m,1
u540,RACHAEL,m34,blade runner,f,3
u547,ADAM,m35,blast from the past,m,1
u556,EVE,m35,blast from the past,f,2
u553,CALVIN,m35,blast from the past,m,3
u567,TROY,m35,blast from the past,m,5
u557,HELEN,m35,blast from the past,f,4
u574,JEFFREY,m36,blue velvet,m,2
u570,DETECTIVE WILLIAMS,m36,blue velvet,m,7
u571,DOROTHY,m36,blue velvet,f,1
u580,SANDY,m36,blue velvet,f,4
u596,SMECKER,m37,the boondock saints,m,1
u594,ROCCO,m37,the boondock saints,m,4
u585,CONNOR,m37,the boondock saints,m,2
u592,MURPHY,m37,the boondock saints,m,3
u589,DUFFY,m37,the boondock saints,m,7
u593,PRIEST,m37,the boondock saints,m,39
u603,DIGNAN,m38,bottle rocket,m,2
u599,ANTHONY,m38,bottle rocket,m,1
u611,MR. HENRY,m38,bottle rocket,m,24
u601,BOB,m38,bottle rocket,m,6
u612,ABBOTT,m39,the bourne supremacy,m,3
u623,PAMELA,m39,the bourne supremacy,f,7
u613,BOURNE,m39,the bourne supremacy,m,1
u616,IRENA,m39,the bourne supremacy,f,15
u619,MARIE,m39,the bourne supremacy,f,2
u622,NICKY,m39,the bourne supremacy,f,4
u642,WILLIAM,m40,braveheart,m,1
u641,WALLACE,m40,braveheart,m,1
u638,PRINCESS,m40,braveheart,f,14
u636,MARION,m40,braveheart,f,0
u643,ANDREA,m41,the butterfly effect,f,2
u645,DR. REDFIELD,m41,the butterfly effect,m,17
u646,EVAN,m41,the butterfly effect,m,1
u650,KAYLEIGH,m41,the butterfly effect,f,3
u667,RICK,m42,casablanca,m,1
u658,ANNINA,m42,casablanca,f,11
u665,LASZLO,m42,casablanca,m,3
u663,FERRARI,m42,casablanca,m,6
u669,STRASSER,m42,casablanca,m,5
u664,ILSA,m42,casablanca,f,2
u668,SAM,m42,casablanca,m,10
u666,RENAULT,m42,casablanca,m,4
u671,UGARTE,m42,casablanca,m,7
u676,CHUCK,m43,cast away,m,8
u681,GOODCHUCK,m43,cast away,m,0
u674,BADCHUCK,m43,cast away,m,0
u682,KELLY,m43,cast away,f,16
u686,STAN,m43,cast away,m,14
u697,LARCH,m44,the cider house rules,m,5
u689,ANGELA,m44,the cider house rules,f,7
u695,HOMER,m44,the cider house rules,m,1
u690,BUSTER,m44,the cider house rules,m,9
u691,CANDY,m44,the cider house rules,f,2
u706,ROSE ROSE,m44,the cider house rules,f,8
u707,WALLY,m44,the cider house rules,m,4
u700,MR. ROSE,m44,the cider house rules,m,0
u715,LILY,m45,confidence,f,2
u708,ASHBY,m45,confidence,m,19
u713,JAKE,m45,confidence,m,1
u710,BUTCH,m45,confidence,m,0
u718,MILES,m45,confidence,m,7
u712,GORDO,m45,confidence,m,6
u714,KING PIN,m45,confidence,m,0
